S01, Oz6001, 2017-05-08 00:29:56.458
Oz3004, 100.3, 5
Oz5003, 124.8, 2
Oz8007, 124.8, 1
Oz2007, 145.0, 0
Oz3007, 146.1, 0
Oz5001, 152.1, 0
Oz7005, 184.8, 0

C02, Oz5009, 2017-05-08 00:30:10.306
Oz6003, 528.8, 5
Oz2005, 574.7, 2
Oz5008, 587.8, 1
Oz5006, 603.4, 0
Oz5005, 615.2, 0
Oz6005, 725.5, 0

R03, Oz1007, 2017-05-08 00:30:19.417
Oz2002, 11.24, 5
Oz4002, 15.65, 2
Oz8005, 15.94, 1
Oz4008, 16.50, 0
Oz6004, 16.73, 0
Oz5004, 17.73, 0

C04, Oz7003, 2017-05-08 00:31:09.055
Oz6002, 572.3, 5
Oz2007, 590.2, 2
Oz5005, 630.7, 1
Oz2006, 724.4, 0

